placeID,review-text
ChIJPx65eqgvdTERsHIZN9cx7OY,"Overall great place for a date or special occasion, but food leaves something to be desired.

The atmosphere is quite pleasant. You arrive by boat and enter the restaurant through another restaurant. All the tables and chairs are adorned with nice LED lights, enhancing the ambiance. We ordered one of the set menus. The salad was definitely the highlight of the meal. The soup was pretty good, but the two main courses left something to be desired. The pasta noodles were enjoyable, but the sauce was overly strong, and the shrimp was overcooked. We also had the duck, which had good flavor but was far too dry. The scallop was quite good—I really enjoyed its texture; it wasn’t soft but had a pleasant chewiness. The steak was decent with good flavor, though it was too chewy. The grits served with the steak were interesting, somewhat like a localized version of grits. The best part of the steak dish was the roasted garlic—it was some of the best I’ve ever had. Its consistency was perfect, and the flavor wasn’t overpowering; I could’ve eaten the whole bulb myself. For dessert, we had the cheesecake and molten lava cake. The molten lava cake was just okay and not very molten—it would’ve been much better with vanilla ice cream on the side. The so-called New York-style cheesecake was neither New York-style, nor cheesecake, nor even a cake. It was more like a cookie crumble topped with sweet cream and a layer of pistachios or nuts. The taste was decent, but if you’re expecting cheesecake, it’s nowhere close. It should be renamed to something else. We were also given a call server button to request service, but it didn’t work at all. When we pointed this out, they didn’t bother replacing it."
ChIJPx65eqgvdTERsHIZN9cx7OY,"Great restaurant with a nice atmosphere.
The staff of very professional.
Ask for photos and you get a real Art Director taking amazing photo to remember the night"
ChIJPx65eqgvdTERsHIZN9cx7OY,"Highly recommended, we celebrate my GF birthday tonight here and we will come back again"
ChIJPx65eqgvdTERsHIZN9cx7OY,"Absolutely love the vibes here! The food is outstanding, and the service is top-notch. Thái is an amazing server, and Trung takes the best photos. Can’t wait to come back!"
ChIJPx65eqgvdTERsHIZN9cx7OY,"Booked a table for two for our 1 year anniversary. The food was exquisite. Even though the menu was unique, I could tell the chef maintained the taste of Vietnam. Definitely worth the experience."
ChIJPx65eqgvdTERsHIZN9cx7OY,This place is a gem of Q7.  A romantic place to take your partner to.   Food are really tasty.  Staffs are very friendly.  Will come back soon
ChIJPx65eqgvdTERsHIZN9cx7OY,"We had a very disappointing experience at Mars Venus. Even though we had a table reserved for 5:00 PM, the kitchen didn’t open until 5:30. The décor was extremely tacky, the tablecloths were dirty, and the chairs were wobbly and rusty. The food quality was very poor. We ordered steak, but it was cooked terribly – dry on the outside and raw inside. Definitely not medium as requested.
The service was just okay. We were greeted when we arrived, but when leaving, none of the staff said goodbye, even though they were standing at the entrance. We’re not sure if this was because we gave honest feedback about the food.
Overall, a very bad experience. We cannot understand how this restaurant has so many positive reviews. We will not be coming back."
ChIJPx65eqgvdTERsHIZN9cx7OY,"Best place I ever come. Nice staff, friendly, so sweet place .. seriously service excellence
Foods so delicious and decoration 10/10.
-Highly recommended."
ChIJPx65eqgvdTERsHIZN9cx7OY,"Great atmosphere, average food.

The setting is beautiful—arriving by boat and dining under soft LED lights creates a romantic vibe. The salad and scallop were standouts, but most mains were underwhelming. The duck was dry, the shrimp overcooked, and the cheesecake wasn’t really cheesecake. Service button didn’t work and wasn’t fixed. Nice place for a special occasion, but the food could be better."
ChIJPx65eqgvdTERsHIZN9cx7OY,I set up a birthday party with my lover. They prepared it so nicely. The food and service are great at a reasonable price. But the way from the park to the restaurant is dark and easy to swipe for a women who wear high heels.
